GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mssc-beer-service,com.amarmodi.beer.msscbeerservice.controller,MvcExceptionHandler,24,3,0,0,5,1,2,1,2,1
mssc-beer-service,com.amarmodi.beer.msscbeerservice.controller,BeerController,50,46,8,0,9,7,7,5,3,5
mssc-beer-service,com.amarmodi.beer.msscbeerservice.domain,Beer,107,3,0,0,13,1,22,1,22,1
mssc-beer-service,com.amarmodi.beer.msscbeerservice.domain,Beer.BeerBuilder,99,0,0,0,1,0,13,0,13,0
mssc-beer-service,com.amarmodi.beer.msscbeerservice.bootstrap,BeerLoader,102,0,2,0,37,0,5,0,4,0
mssc-beer-service,com.amarmodi.beer.msscbeerservice,MsscBeerServiceApplication,5,3,0,0,2,1,1,1,1,1
mssc-beer-service,com.amarmodi.beer.msscbeerservice.mappers,BeerMapperImpl_,196,3,18,0,42,1,12,1,3,1
mssc-beer-service,com.amarmodi.beer.msscbeerservice.mappers,BeerMapperImpl,0,3,0,0,0,1,0,1,0,1
mssc-beer-service,com.amarmodi.beer.msscbeerservice.mappers,BeerMapperDecorator,32,11,0,0,8,5,3,3,3,3
mssc-beer-service,com.amarmodi.beer.msscbeerservice.mappers,DateMapper,38,3,4,0,8,1,4,1,2,1
mssc-beer-service,com.amarmodi.beer.msscbeerservice.services.inventory,BeerInventoryServiceRestTemplateImpl,35,18,0,0,8,7,1,3,1,3
mssc-beer-service,com.amarmodi.beer.msscbeerservice.services.inventory,BeerInventoryDto,257,0,46,0,9,0,40,0,17,0
mssc-beer-service,com.amarmodi.beer.msscbeerservice.services.inventory,BeerInventoryDto.BeerInventoryDtoBuilder,54,0,0,0,1,0,8,0,8,0
mssc-beer-service,com.amarmodi.beer.msscbeerservice.services.inventory,BeerInventoryServiceRestTemplateImpl.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
mssc-beer-service,com.amarmodi.beer.msscbeerservice.config,CacheConfig,0,3,0,0,0,1,0,1,0,1
mssc-beer-service,com.amarmodi.beer.msscbeerservice.model,BeerStyleEnum,0,104,0,0,0,2,0,1,0,1
mssc-beer-service,com.amarmodi.beer.msscbeerservice.model,BeerPagedList,20,0,0,0,6,0,3,0,3,0
mssc-beer-service,com.amarmodi.beer.msscbeerservice.model,BeerDto.BeerDtoBuilder,45,45,0,0,0,1,6,6,6,6
mssc-beer-service,com.amarmodi.beer.msscbeerservice.model,BeerDto,329,104,78,0,0,14,43,22,4,22
mssc-beer-service,com.amarmodi.beer.msscbeerservice.services,BeerServiceImpl,208,9,18,0,44,1,16,1,7,1
mssc-beer-service,com.amarmodi.beer.msscbeerservice.services,NotFoundException,3,0,0,0,1,0,1,0,1,0
